t,C,C*t
446,-7.20215e-05,-0.0321216
447,-7.62939e-05,-0.0341034
448,6.7749e-05,0.0303516
449,0.000203247,0.0912579
450,9.52148e-05,0.0428467
451,-0.000111084,-0.0500989
452,0.000275879,0.124697
453,0.000181885,0.0823938
454,-0.000270996,-0.123032
455,-6.65283e-05,-0.0302704
456,0.000261841,0.119399
457,6.95801e-05,0.0317981
458,-4.76074e-05,-0.0218042
459,0.000132446,0.0607928
460,-8.54492e-05,-0.0393066
461,2.62451e-05,0.012099
462,3.90625e-05,0.0180469
463,-1.70898e-05,-0.0079126
464,-8.42285e-05,-0.039082
465,-0.000383911,-0.178519
466,-0.000328979,-0.153304
467,0.000177002,0.0826599
468,0.000342407,0.160247
469,0.000215454,0.101048
470,3.17383e-05,0.014917
471,2.38037e-05,0.0112115
472,9.33838e-05,0.0440771
473,-0.000126343,-0.0597601
474,-9.27734e-05,-0.0439746
475,-3.2959e-05,-0.0156555
476,-3.35693e-05,-0.015979
477,-0.000126343,-0.0602655
478,-0.000124512,-0.0595166
479,-0.000355835,-0.170445
480,3.54004e-05,0.0169922
481,0.00017334,0.0833765
482,0.000438843,0.211522
483,0.000288696,0.13944
484,3.35693e-05,0.0162476
485,-9.39941e-05,-0.0455872
486,0.000105591,0.0513171
487,-0.000159302,-0.07758
488,-2.86865e-05,-0.013999
489,0.000355835,0.174003
490,0.000521851,0.255707
491,2.38037e-05,0.0116876
492,0.0003302,0.162458
493,8.54492e-05,0.0421265
494,0.000140381,0.0693481
495,0.000383911,0.190036
496,3.05176e-06,0.00151367
497,2.50244e-05,0.0124371
498,0.000150146,0.0747729
499,-0.000385742,-0.192485
500,-0.00010498,-0.0524902
501,-0.000117798,-0.0590167
502,0.000145264,0.0729224
503,0.000264282,0.132934
504,0.000365601,0.184263
505,-2.31934e-05,-0.0117126
506,-0.000174561,-0.0883276
507,-0.000455933,-0.231158
508,-0.000413818,-0.21022
509,-0.000206299,-0.105006
510,-0.000115967,-0.0591431
511,0.000193481,0.098869
